idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
39,경기,39,Large house for families with a small movie theater,,홀리데이 하우스,,,대한민국 경기도 부천 오정구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK9126025?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
40,경기,40,Cozy 2-bedroom house in Euijeongbu. 1 hour from Airport with Direct airport bus.,,홀리데이 하우스,,,대한민국 경기도 의정부,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10636227?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
41,경기,41,"Private house , spacious front yard, bbq grill",,홀리데이 하우스,,,대한민국 경기도 파주,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7740017?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
42,경기,42,Beautiful home with 3 bedrooms/attic/monthly rent,,홀리데이 하우스,,,대한민국 경기도 광주시,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10469955?adultCnt=2&pageIndex=3&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
43,경기,43,Home Sweet Home!!!!!,,홀리데이 하우스,,,대한민국 경기도 평택,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070018034?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
44,경기,44,수원 행궁동 달빛스테이 #핫한 장소 행리단길5분 #임금이 쉬었던 연못근처! #화성행궁 도보 5분! #편의점 2분,,홀리데이 하우스,,,대한민국 경기도 수원 팔달구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10904398?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
45,경기,45,어뮤즈 545,Amuse 545,홀리데이 하우스,,,양서면 목왕로 545,10,,,,http://amuse545.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1071098597?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
46,경기,46,"Charming house in pleasant Gwangju-si with WiFi, AC",,홀리데이 하우스,,,대한민국 경기도 광주시,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10870653?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
47,경기,47,Only Suwon l Beautiful and cozy stay l Family-sized l 10mins walk Subway l,,홀리데이 하우스,,,대한민국 경기도 수원 팔달구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10987001?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
48,경기,48,Gachon university station near by room,,홀리데이 하우스,,,대한민국 경기도 성남 수정구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070527027?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
49,경기,49,가평 노마드리움 풀빌라 펜션,Gapyeong Nomadrium poolvilla Pension,홀리데이 하우스,,,가평군 가평읍 호반로 1723-41,10,,,,https://nomadrium.kr/,https://hotels.naver.com/KR1000278/hotels/KYK1072912688?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
50,경기,50,3-bedroom Urban Hideaway in enjoyable Suwon-si,,홀리데이 하우스,,,대한민국 경기도 수원 장안구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10755745?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
51,경기,51,광주 쉐 뽐뽐 펜션,gwangju chez pompom dokchae poolvilla,홀리데이 하우스,,,초월읍 진새골길 115-17,,,,,https://chezpompom.com/,https://hotels.naver.com/KR1000278/hotels/KYK10375807?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
52,경기,52,Designer House,,홀리데이 하우스,,,대한민국 경기도 수원 팔달구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK11174151?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
53,경기,53,"Charming 2-bedroom house in pleasant Suwon with AC, WiFi",,홀리데이 하우스,,,대한민국 경기도 수원 장안구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10963777?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
54,경기,54,Modern traditional Korean house 5 minutes to Camp Humphreys,,홀리데이 하우스,,,대한민국 경기도 평택,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10020083?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
55,경기,55,"2F TOV ROOM,3R00MS, A place to create good memories with people,near Humphrey",,홀리데이 하우스,,,대한민국 경기도 평택,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK11022635?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
56,경기,56,"TOV 안정리게이트옆, 2층 조용한 주택가, long-term, 방3( Q,Q,SS)",,홀리데이 하우스,,,대한민국 경기도 평택,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK11191854?adultCnt=2&pageIndex=4&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
